capture,source,dest,dest_port,label,n_events,n_gaps,median_gap,mad_gap,rcv,mean_gap,std_gap,cv,min_gap,max_gap,median_bytes
benign,10.0.2.5,151.101.1.140,443,benign,23,22,0.23494207859039307,0.23465955257415771,0.9987974652393882,104.2906568592245,383.0656293477853,3.673057979343844,1.811981201171875e-05,1759.1939008235931,1900.0
benign,10.0.2.5,151.101.1.91,80,benign,62,61,30.184698820114136,0.06612610816955566,0.0021907161825146754,119.99544147585259,291.3979184719275,2.428408236912627,7.022336006164551,1511.2180001735687,156.0
benign,10.0.2.5,151.101.129.140,443,benign,11,10,6.895005464553833,6.633388996124268,0.9620571049907798,229.4565677881241,548.1799676970279,2.3890358553746305,0.19948792457580566,1755.09574508667,2916.5
benign,10.0.2.5,151.101.129.91,80,benign,87,86,30.189468502998352,0.07519197463989258,0.0024906690434919275,106.30961173356965,242.4424302922378,2.2805316126997117,30.06987500190735,1267.9351999759674,156.0
benign,10.0.2.5,151.101.193.140,443,benign,18,17,0.6744780540466309,0.674368143081665,0.9998370429337079,134.49320253203896,420.5095180222518,3.1266228337605244,0.00010991096496582031,1738.5378708839417,3469.5
benign,10.0.2.5,151.101.193.91,80,benign,113,112,30.172471523284912,0.05133497714996338,0.001701384558780569,78.90751711598465,172.37640844985407,2.184537224716896,30.06855607032776,1259.2264120578766,156.0
benign,10.0.2.5,151.101.65.140,443,benign,13,12,6.386779069900513,6.099773645401001,0.9550625720166045,190.0616015791893,500.9800728723737,2.635882622843415,0.0008318424224853516,1745.4692800045013,2666.5
benign,10.0.2.5,151.101.65.91,80,benign,69,68,30.189306020736694,0.06570053100585938,0.002176284905679197,144.66520586785148,397.48946743146166,2.7476507916807558,7.012681007385254,2748.7832131385803,156.0
benign,10.0.2.5,172.183.192.109,443,benign,15,14,0.23690307140350342,0.2350693941116333,0.9922597994149813,1.893734438078744,2.759548209076394,1.4571991476672128,0.0009739398956298828,8.00690507888794,0.0
benign,10.0.2.5,172.217.116.4,443,benign,11,10,0.24887752532958984,0.19005906581878662,0.7636650419401687,1.5586777925491333,2.5470190723709414,1.6340895370077926,0.05229783058166504,7.7084221839904785,915.5
benign,10.0.2.5,172.64.154.167,443,benign,13,12,75.25044345855713,33.32506346702576,0.4428553764653753,192.01686835289001,355.7009388042688,1.8524463077408333,0.04146718978881836,1275.2588040828705,5491.0
benign,10.0.2.5,172.66.0.227,443,benign,18,17,0.0008859634399414062,0.0008540153503417969,0.9639397201291712,0.9001234138713163,2.390724217693599,2.6559960343786617,3.0994415283203125e-05,7.721730947494507,0.0
benign,10.0.2.5,173.194.61.34,443,benign,15,14,99.7717490196228,93.74977087974548,0.9396424519059705,122.55281213351658,108.72906554692773,0.8872017186229197,0.003476858139038086,287.27438282966614,32054.0
benign,10.0.2.5,18.161.21.119,443,benign,12,11,0.0004279613494873047,8.988380432128906e-05,0.21002785515320335,0.0007504549893465909,0.0007697463239417866,1.0257061847399966,0.0003380775451660156,0.0030078887939453125,5476.0
benign,10.0.2.5,18.161.21.122,443,benign,10,9,6.765860080718994,6.522475004196167,0.9640274741689658,62.84555321269565,171.60115299600562,2.7305217986583,0.0008649826049804688,520.0787811279297,2156.0
