capture,source,dest,dest_port,label,n_events,n_gaps,median_gap,mad_gap,rcv,mean_gap,std_gap,cv,min_gap,max_gap,median_bytes,flag_0.05,score,flag_0.1,flag_0.2
sunnystation,172.16.0.131,172.16.0.1,137,unknown,23,22,120.01397454738616,0.0011795759201049,9.828654742529489e-06,119.97445350343531,3.167235251913416,0.0263992471682542,108.38974380493164,127.7352077960968,204.0,False,-0.5104308913600184,False,False
sunnystation,172.16.0.131,172.16.0.52,53,unknown,61,60,5.1948384046554565,4.860585570335388,0.935656740733163,30.011457550525662,124.24813666363504,4.140023404543335,0.0006849765777587,898.8734118938446,41.0,False,-0.5504159778880146,False,True
sunnystation,172.16.0.131,172.16.0.52,88,unknown,21,20,0.0158565044403076,0.0140244960784912,0.8844632895785406,2.631129205226898,9.376520665357518,3.563686894102536,0.0010380744934082,41.52125597000122,1676.0,False,-0.4308121904990649,False,False
sunnystation,172.16.0.131,172.16.0.52,389,unknown,17,16,0.0963010787963867,0.0893235206604003,0.927544340902564,3.3297991156578064,10.69371156255158,3.211518530432135,0.0032379627227783,42.52512288093567,217.0,False,-0.43933017509655325,False,False
sunnystation,172.16.0.149,135.148.121.246,8080,malicious,28,27,44.81229901313782,14.93406105041504,0.3332580871612223,93.7654362961098,240.218718427237,2.561911168083621,1.3669898509979248,938.6047461032867,890.5,False,-0.5502074645782087,False,True
sunnystation,172.16.0.149,172.16.0.1,137,unknown,24,23,120.00335097312929,0.0124149322509765,0.0001034548798037,109.51690456141596,27.130326739282424,0.2477272969678212,13.927809953689575,120.03223395347597,204.0,False,-0.5063127527146145,False,False
sunnystation,172.16.0.149,172.16.0.52,53,unknown,104,103,0.1084802150726318,0.1084182262420654,0.9994285701726816,25.3228191172035,67.10427390107917,2.6499527398784246,4.315376281738281e-05,373.2753930091858,45.5,False,-0.48554964596374317,False,False
sunnystation,172.16.0.149,172.16.0.52,88,unknown,26,25,0.0074949264526367,0.0060217380523681,0.8034419137294821,0.5355134773254394,1.6374536924249483,3.057726391132158,5.698204040527344e-05,7.230729818344116,1668.0,False,-0.44563014108414556,False,False
sunnystation,172.16.0.149,172.16.0.52,135,unknown,10,9,8.40999698638916,8.398818969726562,0.9986708655567073,241.6635995441013,573.3747347998572,2.372615221661555,0.0111780166625976,1740.4127249717712,496.0,False,-0.4549085195878884,False,False
sunnystation,172.16.0.149,172.16.0.52,389,unknown,38,37,0.1162989139556884,0.1088449954986572,0.935907239341278,58.8243185700597,289.96134058281706,4.929276660255288,0.002573013305664,1740.4244759082794,2451.0,False,-0.4262391430765654,False,False
sunnystation,172.16.0.149,172.16.0.52,49667,unknown,10,9,8.410516023635864,8.396620988845825,0.9983478974713336,241.6617907947964,573.3751146523027,2.372634551645675,0.013895034790039,1740.4116179943085,3757.0,False,-0.44203453974862117,False,False
sunnystation,172.16.0.170,172.16.0.1,137,unknown,24,23,120.01559019088744,0.0048849582672119,4.070269753656404e-05,114.7610837791277,17.383416723420705,0.1514748393007276,59.39804291725159,120.03187799453735,204.0,False,-0.49809484907645835,False,False
sunnystation,172.16.0.170,172.16.0.52,53,unknown,70,69,1.199204921722412,1.198127031326294,0.9991011624647352,37.619538321011305,76.78519503273112,2.0410988135344814,0.000284194946289,299.2737078666687,47.5,False,-0.5047791683929299,False,False
sunnystation,172.16.0.170,172.16.0.52,88,unknown,23,22,0.0083564519882202,0.0067774057388305,0.8110386738755189,0.9962252703579988,2.7610059059306344,2.7714674462518425,0.0015690326690673,12.028902053833008,1701.0,False,-0.4402154619424649,False,False
sunnystation,172.16.0.170,172.16.0.52,135,unknown,10,9,79.56718111038208,79.46064114570618,0.9986610061687606,264.21940845913355,472.27858109785456,1.7874484840158942,0.0104360580444335,1430.7227449417114,496.0,False,-0.5356825149972099,False,True
